datetime,frequency,noise_figure
2025-07-08T10:06:56.087240,1900,4.046
2025-07-08T10:06:56.087240,2000,3.95
2025-07-08T10:06:56.087240,2200,3.888
2025-07-08T10:06:56.087240,2400,3.934
2025-07-08T10:06:56.087240,2600,3.937
2025-07-08T10:06:56.087240,2800,3.966
2025-07-08T10:06:56.087240,3000,4.1
2025-07-08T10:06:56.087240,3200,4.128
2025-07-08T10:06:56.087240,3400,4.155
2025-07-08T10:06:56.087240,3600,4.346
2025-07-08T10:06:56.087240,3800,4.51
2025-07-08T10:06:56.087240,4000,4.664
